id,name
MK007,Severoistočen
MK008,Skopski
MNE-1_1,Andrijevica
MNE-2_1,Bar
MNE-3_1,Berane
MNE-4_1,Bijelo Polje
MNE-5_1,Budva
MNE-6_1,Cetinje
MNE-7_1,Danilovgrad
MNE-8_1,Herceg Novi
MNE-9_1,Kolašin
MNE-10_1,Kotor
MNE-11_1,Mojkovac
MNE-12_1,Nikšic
MNE-13_1,Plav
MNE-14_1,Pljevlja
MNE-15_1,Plužine
MNE-16_1,Podgorica
MNE-17_1,Rožaje
MNE-18_1,Šavnik
MNE-19_1,Tivat
MNE-20_1,Ulcinj
MNE-21_1,Žabljak
NOR-1_1,Akershus
NOR-2_1,Ãstfold
NOR-3_1,Aust-Agder
NOR-4_1,Buskerud
NOR-5_1,Finnmark
NOR-6_1,Hedmark
NOR-7_1,Hordaland
NOR-8_1,Møre og Romsdal
NOR-9_1,Nord-Trøndelag
NOR-10_1,Nordland
NOR-11_1,Oppland
NOR-12_1,Oslo
NOR-13_1,Rogaland
NOR-14_1,Sogn og Fjordane
NOR-15_1,Sør-Trøndelag
NOR-16_1,Telemark
NOR-17_1,Troms
NOR-18_1,Vest-Agder
NOR-19_1,Vestfold
SRB-1_1,Borski
SRB-2_1,Braničevski
SRB-3_1,Grad Beograd
SRB-4_1,Jablanički
SRB-5_1,Južno-Bački
SRB-6_1,Južno-Banatski
SRB-7_1,Kolubarski
SRB-8_1,Mačvanski
SRB-9_1,Moravički
SRB-10_1,Nišavski
SRB-11_1,Pčinjski
SRB-12_1,Pirotski
SRB-13_1,Podunavski
SRB-14_1,Pomoravski
SRB-15_1,Rasinski
SRB-16_1,Raški
SRB-17_1,Severno-Bački
SRB-18_1,Severno-Banatski
SRB-19_1,Srednje-Banatski
SRB-20_1,Sremski
SRB-21_1,Šumadijski
SRB-22_1,Toplički
SRB-23_1,Zaječarski
SRB-24_1,Zapadno-Bački
SRB-25_1,Zlatiborski
CHE-1_1,Aargau
CHE-2_1,Appenzell Ausserrhoden
CHE-3_1,Appenzell Innerrhoden
CHE-4_1,Basel-Landschaft
CHE-5_1,Basel-Stadt
CHE-6_1,Bern
CHE-7_1,Fribourg
CHE-8_1,Genève
CHE-9_1,Glarus
CHE-10_1,Graubünden
CHE-11_1,Jura
CHE-12_1,Lucerne
CHE-13_1,Neuchâtel
CHE-14_1,Nidwalden
CHE-15_1,Obwalden
CHE-16_1,Sankt Gallen
CHE-17_1,Schaffhausen
CHE-18_1,Schwyz
CHE-19_1,Solothurn
CHE-20_1,Thurgau
CHE-21_1,Ticino
CHE-22_1,Uri
CHE-23_1,Valais
CHE-24_1,Vaud
CHE-25_1,Zug
CHE-26_1,Zürich
